variable,original_freq
US_PPI_AllComm,monthly
US_PPI_Core,monthly
US_PPI_CoreFin,monthly
US_PPI_FinalDem,monthly
US_PPI_IndComm,monthly
US_PersIncome,monthly
US_PersSpend,monthly
US_PrimeLoan,monthly
US_PrivateEmp,monthly
US_REER,monthly
US_RealCompPerHr,monthly
US_RealDispIncome,monthly
US_RealEstLoans,monthly
US_RealPCE,monthly
US_RealRetail,monthly
US_RetailInvSales,monthly
US_RetailSales,monthly
US_RetailXFood,monthly
US_RevolvCredit,monthly
US_TotReserves,monthly
US_TradeTransEmp,monthly
US_TrimPCE,monthly
US_TrimPCE12,monthly
US_U6Rate,monthly
US_UnempBlack,monthly
US_UnempNSA,monthly
US_UnempRate,monthly
US_VehicleSales,monthly
US_WholsaleEmp,monthly
Wheat,monthly
ZA_CPI,monthly
Zinc,monthly
